Date,Open,Volume,Change,Colour
"Friday, 23 October 1992",0.439732,91425600,1.546291763,Blue
"Monday, 26 October 1992",0.435268,250689600,-1.015163782,Red
"Tuesday, 27 October 1992",0.459821,211960000,5.640892508,Blue
"Wednesday, 28 October 1992",0.457589,196593600,-0.485406278,Red
"Thursday, 29 October 1992",0.466518,213897600,1.951314389,Blue
"Friday, 30 October 1992",0.477679,129830400,2.392405009,Blue
"Monday, 2 November 1992",0.46875,170094400,-1.869246921,Red
"Tuesday, 3 November 1992",0.46875,112750400,0,Blue
"Wednesday, 4 November 1992",0.464286,141960000,-0.95232,Red
"Thursday, 5 November 1992",0.46875,298054400,0.961476331,Blue
"Friday, 6 November 1992",0.488839,263972800,4.285653333,Blue
"Monday, 9 November 1992",0.5,112929600,2.283164805,Blue
"Tuesday, 10 November 1992",0.491071,122225600,-1.7858,Red
"Wednesday, 11 November 1992",0.504464,140425600,2.727304198,Blue
"Thursday, 12 November 1992",0.508929,107598400,0.885097846,Blue
"Friday, 13 November 1992",0.508929,84750400,0,Blue
"Monday, 16 November 1992",0.502232,67547200,-1.315900646,Red
"Tuesday, 17 November 1992",0.511161,168806400,1.777863617,Blue
"Wednesday, 18 November 1992",0.5,304808000,-2.183460788,Red
"Thursday, 19 November 1992",0.515625,240542400,3.125,Blue
"Friday, 20 November 1992",0.522321,155489600,1.298618182,Blue
"Monday, 23 November 1992",0.504464,152723200,-3.418778874,Red
"Tuesday, 24 November 1992",0.508929,156822400,0.885097846,Blue
"Wednesday, 25 November 1992",0.508929,117342400,0,Blue
"Friday, 27 November 1992",0.504464,47196800,-0.877332595,Red
"Monday, 30 November 1992",0.502232,160507200,-0.442449808,Red
"Tuesday, 1 December 1992",0.511161,130144000,1.777863617,Blue
"Wednesday, 2 December 1992",0.520089,97776000,1.746612124,Blue
"Thursday, 3 December 1992",0.504464,187588800,-3.004293496,Red
"Friday, 4 December 1992",0.511161,95782400,1.327547655,Blue
"Monday, 7 December 1992",0.506696,144222400,-0.873501695,Red
"Tuesday, 8 December 1992",0.515625,196638400,1.762200609,Blue
"Wednesday, 9 December 1992",0.515625,159409600,0,Blue
"Thursday, 10 December 1992",0.511161,140190400,-0.865745455,Red
"Friday, 11 December 1992",0.511161,120187200,0,Blue
"Monday, 14 December 1992",0.513393,110510400,0.436653031,Blue
"Tuesday, 15 December 1992",0.506696,182537600,-1.304458767,Red
"Wednesday, 16 December 1992",0.502232,225926400,-0.881001626,Red
"Thursday, 17 December 1992",0.493304,233867200,-1.777664506,Red
"Friday, 18 December 1992",0.513393,235457600,4.072336734,Blue
"Monday, 21 December 1992",0.520089,256065600,1.304263985,Blue
"Tuesday, 22 December 1992",0.533482,280168000,2.575136179,Blue
"Wednesday, 23 December 1992",0.537946,112336000,0.836766751,Blue
"Thursday, 24 December 1992",0.535714,45964800,-0.414911534,Red
"Monday, 28 December 1992",0.529018,70448000,-1.249920667,Red
"Tuesday, 29 December 1992",0.53125,116278400,0.42191381,Blue
"Wednesday, 30 December 1992",0.533482,100587200,0.420141176,Blue
"Thursday, 31 December 1992",0.524554,92232000,-1.673533503,Red
"Monday, 4 January 1993",0.53125,129136000,1.276513,Blue
"Tuesday, 5 January 1993",0.517857,186256000,-2.521035294,Red
"Wednesday, 6 January 1993",0.542411,281400000,4.741463377,Blue
"Thursday, 7 January 1993",0.551339,272137600,1.645984318,Blue
"Friday, 8 January 1993",0.542411,320936000,-1.619330394,Red
"Monday, 11 January 1993",0.553571,273728000,2.057480398,Blue
"Tuesday, 12 January 1993",0.560268,346158400,1.209781582,Blue
"Wednesday, 13 January 1993",0.549107,199640000,-1.992082361,Red
"Thursday, 14 January 1993",0.571429,367808000,4.065145773,Blue
"Friday, 15 January 1993",0.544643,902630400,-4.687546484,Red
"Monday, 18 January 1993",0.53125,333636800,-2.459041978,Red
"Tuesday, 19 January 1993",0.533482,274041600,0.420141176,Blue
"Wednesday, 20 January 1993",0.533482,158737600,0,Blue
"Thursday, 21 January 1993",0.533482,184419200,0,Blue
"Friday, 22 January 1993",0.537946,146944000,0.836766751,Blue
"Monday, 25 January 1993",0.529018,202272000,-1.659646135,Red
"Tuesday, 26 January 1993",0.540179,285622400,2.10975808,Blue
"Wednesday, 27 January 1993",0.544643,226620800,0.826392733,Blue
"Thursday, 28 January 1993",0.535714,184038400,-1.639422521,Red
"Friday, 29 January 1993",0.537946,266100800,0.416640222,Blue
"Monday, 1 February 1993",0.529018,240553600,-1.659646135,Red
"Tuesday, 2 February 1993",0.542411,182336000,2.53167189,Blue
"Wednesday, 3 February 1993",0.544643,264185600,0.41149608,Blue
"Thursday, 4 February 1993",0.535714,208152000,-1.639422521,Red
"Friday, 5 February 1993",0.529018,367617600,-1.249920667,Red
"Monday, 8 February 1993",0.508929,281075200,-3.797413321,Red
"Tuesday, 9 February 1993",0.508929,238660800,0,Blue
"Wednesday, 10 February 1993",0.508929,268284800,0,Blue
"Thursday, 11 February 1993",0.497768,168268800,-2.19303675,Red
"Friday, 12 February 1993",0.491071,275396800,-1.345405892,Red
"Tuesday, 16 February 1993",0.477679,407736000,-2.727100562,Red
"Wednesday, 17 February 1993",0.475446,249580800,-0.467468739,Red
"Thursday, 18 February 1993",0.491071,280123200,3.286387939,Blue
"Friday, 19 February 1993",0.493304,177800000,0.454720397,Blue
"Monday, 22 February 1993",0.491071,98761600,-0.45266205,Red
"Tuesday, 23 February 1993",0.491071,194073600,0,Blue
"Wednesday, 24 February 1993",0.465402,286563200,-5.22714638,Red
"Thursday, 25 February 1993",0.475446,167227200,2.158134258,Blue
"Friday, 26 February 1993",0.484375,294884800,1.878026106,Blue
"Monday, 1 March 1993",0.473214,119302400,-2.304206452,Red
"Tuesday, 2 March 1993",0.473214,147694400,0,Blue
"Wednesday, 3 March 1993",0.482143,202697600,1.886884158,Blue
"Thursday, 4 March 1993",0.486607,188339200,0.925866392,Blue
"Friday, 5 March 1993",0.488839,111619200,0.458686373,Blue
"Monday, 8 March 1993",0.491071,177004800,0.456592048,Blue
"Tuesday, 9 March 1993",0.504464,154828800,2.727304198,Blue
"Wednesday, 10 March 1993",0.506696,132496000,0.442449808,Blue
"Thursday, 11 March 1993",0.508929,144614400,0.44069817,Blue
"Friday, 12 March 1993",0.506696,126694400,-0.438764543,Red
"Monday, 15 March 1993",0.5,136035200,-1.321502439,Red
"Tuesday, 16 March 1993",0.511161,101281600,2.2322,Blue
"Wednesday, 17 March 1993",0.504464,176220800,-1.310154726,Red
"Thursday, 18 March 1993",0.491071,106187200,-2.654897079,Red
"Friday, 19 March 1993",0.491071,154100800,0,Blue
"Monday, 22 March 1993",0.477679,165200000,-2.727100562,Red
"Tuesday, 23 March 1993",0.475446,102536000,-0.467468739,Red
"Wednesday, 24 March 1993",0.470982,143068800,-0.938907889,Red
"Thursday, 25 March 1993",0.479911,171046400,1.895826167,Blue
"Friday, 26 March 1993",0.488839,151760000,1.860344939,Blue
"Monday, 29 March 1993",0.466518,261710400,-4.566125043,Red
"Tuesday, 30 March 1993",0.456473,264051200,-2.153185944,Red
"Wednesday, 31 March 1993",0.46875,223036800,2.689534759,Blue
"Thursday, 1 April 1993",0.457589,108203200,-2.381013333,Red
"Friday, 2 April 1993",0.450893,253792000,-1.463321889,Red
"Monday, 5 April 1993",0.446429,149172800,-0.99003533,Red
"Tuesday, 6 April 1993",0.446429,168369600,0,Blue
"Wednesday, 7 April 1993",0.4375,162848000,-2.00009408,Red
"Thursday, 8 April 1993",0.446429,163430400,2.040914286,Blue
"Monday, 12 April 1993",0.441964,93049600,-1.00015904,Red
"Tuesday, 13 April 1993",0.450893,164483200,2.020300296,Blue
"Wednesday, 14 April 1993",0.430804,170060800,-4.455380767,Red
"Thursday, 15 April 1993",0.430804,218702400,0,Blue
"Friday, 16 April 1993",0.430804,686795200,0,Blue
"Monday, 19 April 1993",0.433036,227864000,0.518101039,Blue
"Tuesday, 20 April 1993",0.435268,240049600,0.515430588,Blue
"Wednesday, 21 April 1993",0.448661,205273600,3.076954888,Blue
"Thursday, 22 April 1993",0.439732,157673600,-1.990144006,Red
"Friday, 23 April 1993",0.444196,134142400,1.015163782,Blue
"Monday, 26 April 1993",0.439732,102804800,-1.004961774,Red
"Tuesday, 27 April 1993",0.435268,129673600,-1.015163782,Red
"Wednesday, 28 April 1993",0.444196,163240000,2.051150096,Blue
"Thursday, 29 April 1993",0.459821,82443200,3.517591334,Blue
"Friday, 30 April 1993",0.453125,132339200,-1.456218833,Red
"Monday, 3 May 1993",0.457589,65184000,0.985158621,Blue
"Tuesday, 4 May 1993",0.466518,170822400,1.951314389,Blue
"Wednesday, 5 May 1993",0.473214,253064000,1.435314393,Blue
"Thursday, 6 May 1993",0.486607,70459200,2.830220577,Blue
"Friday, 7 May 1993",0.477679,81894400,-1.834745493,Red
"Monday, 10 May 1993",0.491071,137928000,2.803556363,Blue
"Tuesday, 11 May 1993",0.491071,158379200,0,Blue
"Wednesday, 12 May 1993",0.484375,105224000,-1.363550281,Red
"Thursday, 13 May 1993",0.477679,361726400,-1.3824,Red
"Friday, 14 May 1993",0.493304,117409600,3.271025103,Blue
"Monday, 17 May 1993",0.495536,69641600,0.452459335,Blue
"Tuesday, 18 May 1993",0.495536,163475200,0,Blue
"Wednesday, 19 May 1993",0.488839,172771200,-1.351465887,Red
"Thursday, 20 May 1993",0.511161,290528000,4.56632961,Blue
"Friday, 21 May 1993",0.524554,148198400,2.620113819,Blue
"Monday, 24 May 1993",0.506696,150315200,-3.404415942,Red
"Tuesday, 25 May 1993",0.506696,180723200,0,Blue
"Wednesday, 26 May 1993",0.5,121564800,-1.321502439,Red
"Thursday, 27 May 1993",0.515625,197288000,3.125,Blue
"Friday, 28 May 1993",0.508929,183948800,-1.298618182,Red
"Tuesday, 1 June 1993",0.504464,135072000,-0.877332595,Red
"Wednesday, 2 June 1993",0.506696,200480000,0.442449808,Blue
"Thursday, 3 June 1993",0.508929,156856000,0.44069817,Blue
"Friday, 4 June 1993",0.497768,213684800,-2.19303675,Red
"Monday, 7 June 1993",0.486607,482305600,-2.242209222,Red
"Tuesday, 8 June 1993",0.435268,621096000,-10.5504031,Red
"Wednesday, 9 June 1993",0.401786,1178419200,-7.692272347,Red
"Thursday, 10 June 1993",0.388393,553705600,-3.333366518,Red
"Friday, 11 June 1993",0.401786,242323200,3.448311375,Blue
"Monday, 14 June 1993",0.392857,249491200,-2.222327309,Red
"Tuesday, 15 June 1993",0.404018,448324800,2.840982851,Blue
"Wednesday, 16 June 1993",0.377232,353080000,-6.629902628,Red
"Thursday, 17 June 1993",0.379464,409438400,0.591678331,Blue
"Friday, 18 June 1993",0.371652,311292800,-2.058693315,Red
"Monday, 21 June 1993",0.361607,273582400,-2.70279724,Red
"Tuesday, 22 June 1993",0.364955,336380800,0.925867032,Blue
"Wednesday, 23 June 1993",0.372768,180723200,2.140811881,Blue
"Thursday, 24 June 1993",0.361607,222835200,-2.994087475,Red
"Friday, 25 June 1993",0.360491,257163200,-0.308622344,Red
"Monday, 28 June 1993",0.361607,353617600,0.30957777,Blue
"Tuesday, 29 June 1993",0.359375,294268800,-0.617244688,Red
"Wednesday, 30 June 1993",0.345982,200256000,-3.726747826,Red
"Thursday, 1 July 1993",0.348214,218164800,0.645120266,Blue
"Friday, 2 July 1993",0.341518,191632000,-1.922955424,Red
"Tuesday, 6 July 1993",0.341518,155254400,0,Blue
"Wednesday, 7 July 1993",0.334821,227035200,-1.960950814,Red
"Thursday, 8 July 1993",0.325893,138969600,-2.666499413,Red
"Friday, 9 July 1993",0.330357,156878400,1.369774742,Blue
"Monday, 12 July 1993",0.328125,173880000,-0.675632725,Red
"Tuesday, 13 July 1993",0.345982,158110400,5.442133333,Blue
"Wednesday, 14 July 1993",0.328125,246299200,-5.161251163,Red
"Thursday, 15 July 1993",0.332589,338038400,1.360457143,Blue
"Friday, 16 July 1993",0.254464,2120596800,-23.48995307,Red
"Monday, 19 July 1993",0.25,806232000,-1.754275654,Red
"Tuesday, 20 July 1993",0.234375,531910400,-6.25,Red
"Wednesday, 21 July 1993",0.232143,455907200,-0.95232,Red
"Thursday, 22 July 1993",0.232143,211176000,0,Blue
"Friday, 23 July 1993",0.241071,233777600,3.845905326,Blue
"Monday, 26 July 1993",0.238839,152824000,-0.925868313,Red
"Tuesday, 27 July 1993",0.238839,198609600,0,Blue
"Wednesday, 28 July 1993",0.234375,91795200,-1.869041488,Red
"Thursday, 29 July 1993",0.241071,121374400,2.85696,Blue
"Friday, 30 July 1993",0.245536,214446400,1.852151441,Blue
"Monday, 2 August 1993",0.252232,216305600,2.727095008,Blue
"Tuesday, 3 August 1993",0.258929,176478400,2.655095309,Blue
"Wednesday, 4 August 1993",0.261161,242995200,0.862012366,Blue
"Thursday, 5 August 1993",0.274554,209372800,5.128254219,Blue
"Friday, 6 August 1993",0.261161,125921600,-4.878093198,Red
"Monday, 9 August 1993",0.261161,161414400,0,Blue
"Tuesday, 10 August 1993",0.263393,152779200,0.854645219,Blue
"Wednesday, 11 August 1993",0.254464,166969600,-3.389991382,Red
"Thursday, 12 August 1993",0.245536,338172800,-3.508551308,Red
"Friday, 13 August 1993",0.236607,138812800,-3.63653395,Red
"Monday, 16 August 1993",0.245536,102446400,3.773768316,Blue
"Tuesday, 17 August 1993",0.247768,108180800,0.909031669,Blue
"Wednesday, 18 August 1993",0.258929,188720000,4.504617223,Blue
"Thursday, 19 August 1993",0.256696,152129600,-0.862398573,Red
"Friday, 20 August 1993",0.247768,99937600,-3.478044068,Red
"Monday, 23 August 1993",0.25,91179200,0.900842724,Blue
"Tuesday, 24 August 1993",0.252232,101259200,0.8928,Blue
"Wednesday, 25 August 1993",0.25,145768000,-0.884899616,Red
"Thursday, 26 August 1993",0.243304,176142400,-2.6784,Red
"Friday, 27 August 1993",0.241071,186569600,-0.91778187,Red
