Date,Open,Volume,Change,Colour
8/05/2018,52600,23104720,-0.754716981,Red
9/05/2018,52600,16128305,0,Blue
10/05/2018,51700,13905263,-1.711026616,Red
11/05/2018,52000,10314997,0.580270793,Blue
14/05/2018,51000,14909272,-1.923076923,Red
15/05/2018,50200,18709146,-1.568627451,Red
16/05/2018,49200,15918683,-1.992031873,Red
17/05/2018,50300,10365440,2.235772358,Blue
18/05/2018,49900,6706570,-0.795228628,Red
21/05/2018,49650,9020998,-0.501002004,Red
23/05/2018,50600,17095490,1.913393756,Blue
24/05/2018,52000,8289275,2.766798419,Blue
25/05/2018,51000,15207266,-1.923076923,Red
28/05/2018,52500,9787820,2.941176471,Blue
29/05/2018,52200,8480437,-0.571428571,Red
30/05/2018,51300,20498098,-1.724137931,Red
31/05/2018,50400,63491109,-1.754385965,Red
1/06/2018,50500,13038499,0.198412698,Blue
4/06/2018,50800,9767171,0.594059406,Blue
5/06/2018,51100,9144100,0.590551181,Blue
7/06/2018,51800,13590016,1.369863014,Blue
8/06/2018,50200,16951706,-3.088803089,Red
11/06/2018,49750,10571312,-0.896414343,Red
12/06/2018,49700,12110569,-0.100502513,Red
14/06/2018,49000,20971729,-1.408450704,Red
15/06/2018,48500,17080892,-1.020408163,Red
18/06/2018,47600,16661870,-1.855670103,Red
19/06/2018,47200,15217971,-0.840336134,Red
20/06/2018,47450,12959316,0.529661017,Blue
21/06/2018,47900,10015541,0.948366702,Blue
22/06/2018,47000,10298006,-1.878914405,Red
25/06/2018,47050,10587711,0.106382979,Blue
26/06/2018,45900,11223166,-2.444208289,Red
27/06/2018,47450,15274752,3.376906318,Blue
28/06/2018,46850,12784800,-1.264488936,Red
29/06/2018,46250,14099635,-1.280683031,Red
2/07/2018,46500,13112253,0.540540541,Blue
3/07/2018,45750,10959655,-1.612903226,Red
4/07/2018,46700,8776763,2.076502732,Blue
5/07/2018,46100,7039773,-1.284796574,Red
6/07/2018,45500,17843706,-1.301518438,Red
9/07/2018,45500,11602464,0,Blue
10/07/2018,46200,10528665,1.538461538,Blue
11/07/2018,46400,11224077,0.432900433,Blue
12/07/2018,45900,11828104,-1.077586207,Red
13/07/2018,45800,11543389,-0.217864924,Red
16/07/2018,46800,7678719,2.183406114,Blue
17/07/2018,46150,8892953,-1.388888889,Red
18/07/2018,46700,10952645,1.19176598,Blue
19/07/2018,47050,9880128,0.749464668,Blue
20/07/2018,47000,10474547,-0.106269926,Red
23/07/2018,47100,10823782,0.212765957,Blue
24/07/2018,46350,8261363,-1.592356688,Red
25/07/2018,46250,7222471,-0.21574973,Red
26/07/2018,46100,7374946,-0.324324324,Red
27/07/2018,46450,4762460,0.759219089,Blue
30/07/2018,46550,5723035,0.215285253,Blue
31/07/2018,46200,8033607,-0.751879699,Red
1/08/2018,46050,7484499,-0.324675325,Red
2/08/2018,46550,8560924,1.08577633,Blue
3/08/2018,45850,8274944,-1.503759398,Red
6/08/2018,46150,6771979,0.654307525,Blue
7/08/2018,46300,9058174,0.325027086,Blue
8/08/2018,47000,6429338,1.51187905,Blue
9/08/2018,47000,12010886,0,Blue
10/08/2018,46150,16670643,-1.808510638,Red
13/08/2018,44950,9803831,-2.600216685,Red
14/08/2018,44850,6409259,-0.22246941,Red
16/08/2018,43800,10088229,-2.341137124,Red
17/08/2018,44050,6808747,0.570776256,Blue
20/08/2018,43500,7289124,-1.248581158,Red
21/08/2018,43700,9520270,0.459770115,Blue
22/08/2018,45150,11641656,3.318077803,Blue
23/08/2018,46150,6730918,2.214839424,Blue
24/08/2018,45900,6582535,-0.541711809,Red
27/08/2018,46100,5263782,0.435729847,Blue
28/08/2018,46800,7365976,1.518438178,Blue
29/08/2018,46750,5572374,-0.106837607,Red
30/08/2018,46950,12193231,0.427807487,Blue
31/08/2018,47100,13577454,0.319488818,Blue
3/09/2018,48200,8595084,2.335456476,Blue
4/09/2018,47550,6791255,-1.348547718,Red
5/09/2018,47300,9139998,-0.525762355,Red
6/09/2018,46200,9040553,-2.325581395,Red
7/09/2018,44500,18285508,-3.67965368,Red
10/09/2018,45450,9979838,2.134831461,Blue
11/09/2018,45550,9865790,0.220022002,Blue
12/09/2018,44900,12995269,-1.427003293,Red
13/09/2018,44550,18277942,-0.779510022,Red
14/09/2018,45000,12446344,1.01010101,Blue
17/09/2018,45550,8123384,1.222222222,Blue
18/09/2018,44950,9987090,-1.317233809,Red
19/09/2018,46000,9367454,2.33592881,Blue
20/09/2018,46850,13536966,1.847826087,Blue
21/09/2018,46550,14476906,-0.640341515,Red
27/09/2018,46950,15804586,0.859291085,Blue
28/09/2018,47250,11270515,0.638977636,Blue
1/10/2018,46450,6354983,-1.693121693,Red
2/10/2018,46450,6607188,0,Blue
4/10/2018,45150,11865327,-2.798708288,Red
5/10/2018,44800,10544165,-0.775193798,Red
8/10/2018,44200,6759464,-1.339285714,Red
10/10/2018,45250,10341349,2.375565611,Blue
11/10/2018,44000,19324537,-2.762430939,Red
12/10/2018,43200,12640906,-1.818181818,Red
15/10/2018,44050,7434522,1.967592593,Blue
