Continent,Country,numUsers,iosMarketShare,androidMarketShare,country_Latitude,country_Longitude,Continent_Latitude,Continent_Longitude,Market Dominator,market leader value
Asia,Tajikistan,,12.58,87.12,39,71,53.919408,85.619606,Android,87.12
Asia,Thailand,69000000,27.47,72.19,15,100,53.919408,85.619606,Android,72.19
Asia,Turkey,72200000,15.74,83.96,39,35,53.919408,85.619606,Android,83.96
Asia,Turkmenistan,,40.44,59.49,40,60,53.919408,85.619606,Android,59.49
Asia,United Arab Emirates,17132724,25.83,73.85,24,54,53.919408,85.619606,Android,73.85
Asia,Uzbekistan,,9.83,89.92,41,64,53.919408,85.619606,Android,89.92
Asia,Vietnam,72300000,28.96,70.62,16,106,53.919408,85.619606,Android,70.62
Asia,Yemen,,2.17,95.61,15,48,53.919408,85.619606,Android,95.61
Europe,Albania,,51.54,48.25,41,20,56.134075,15.533798,IOS,51.54
Europe,Andorra,,62.84,36.75,42.5,1.5,56.134075,15.533798,IOS,62.84
Europe,Armenia,,28.48,71.16,40,45,56.134075,15.533798,Android,71.16
Europe,Austria,,39.49,59.58,47.33,13.33,56.134075,15.533798,Android,59.58
Europe,Azerbaijan,7000000,17.66,81.38,40.5,47.5,56.134075,15.533798,Android,81.38
Europe,Belarus,,26.66,73.1,53,28,56.134075,15.533798,Android,73.1
Europe,Belgium,11822000,45,54.19,50.83,4,56.134075,15.533798,Android,54.19
Europe,Bosnia and Herzegovina,,10.97,88.58,44,18,56.134075,15.533798,Android,88.58
Europe,Bulgaria,10454400,14.97,84.76,43,25,56.134075,15.533798,Android,84.76
Europe,Croatia,,16.67,82.84,45.17,15.5,56.134075,15.533798,Android,82.84
Europe,Cyprus,,23.07,76.29,35,33,56.134075,15.533798,Android,76.29
Europe,Czech Republic,,24.21,75.23,49.75,15.5,56.134075,15.533798,Android,75.23
Europe,Denmark,7000000,64.04,35.5,56,10,56.134075,15.533798,IOS,64.04
Europe,Estonia,1904000,36.74,62.74,59,26,56.134075,15.533798,Android,62.74
Europe,Finland,9470000,36.44,62.85,64,26,56.134075,15.533798,Android,62.85
Europe,France,72180000,35.49,63.94,46,2,56.134075,15.533798,Android,63.94
Europe,Georgia,,25.08,73.92,42,43.5,56.134075,15.533798,Android,73.92
Europe,Germany,107000000,37.67,59.79,51,9,56.134075,15.533798,Android,59.79
Europe,Greece,,17.8,80.99,39,22,56.134075,15.533798,Android,80.99
Europe,Hungary,11561890,21.02,78.25,47,20,56.134075,15.533798,Android,78.25
Europe,Iceland,,51.03,48.19,65,-18,56.134075,15.533798,IOS,51.03
Europe,Ireland,5770638,48.07,51.49,53,-8,56.134075,15.533798,Android,51.49
Europe,Italy,88580000,29.31,70.22,42.83,12.83,56.134075,15.533798,Android,70.22
Europe,Latvia,2579000,29.32,69.83,57,25,56.134075,15.533798,Android,69.83
Europe,Liechtenstein,,64.93,34.74,47.17,9.53,56.134075,15.533798,IOS,64.93
Europe,Lithuania,4940000,26.03,73.36,56,24,56.134075,15.533798,Android,73.36
Europe,Luxembourg,,40.53,58.88,49.75,6.17,56.134075,15.533798,Android,58.88
Europe,Macedonia,,,,41.83,22,56.134075,15.533798,Android,
Europe,Malta,554651,35.7,63.66,35.83,14.58,56.134075,15.533798,Android,63.66
Europe,Moldova,,20.32,79.4,,,56.134075,15.533798,Android,79.4
Europe,Monaco,,69.42,30.47,43.73,7.4,56.134075,15.533798,IOS,69.42
Europe,Montenegro,1117500,23.98,75.62,42,19,56.134075,15.533798,Android,75.62
Europe,Netherlands,20000000,40.31,59.02,52.5,5.75,56.134075,15.533798,Android,59.02
Europe,Norway,,61.94,37.59,62,10,56.134075,15.533798,IOS,61.94
Europe,Poland,47153200,10.57,89.2,52,20,56.134075,15.533798,Android,89.2
Europe,Portugal,13400000,27.1,72.46,39.5,-8,56.134075,15.533798,Android,72.46
Europe,Romania,26000000,22.15,77.52,46,25,56.134075,15.533798,Android,77.52
Europe,San Marino,,35.69,63.69,43.77,12.42,56.134075,15.533798,Android,63.69
Europe,Serbia,,25.11,74.6,44,21,56.134075,15.533798,Android,74.6
Europe,Slovakia,,23.91,75.07,48.67,19.5,56.134075,15.533798,Android,75.07
Europe,Slovenia,,27.09,72.35,46,15,56.134075,15.533798,Android,72.35
