Country,numUsers,iosMarketShare,androidMarketShare,latitude,longitude,Market_Dominator,market_leader_value
Belarus,,26.66,73.1,53,28,Android,73.1
Belgium,11822000,45,54.19,50.83,4,Android,54.19
Bosnia and Herzegovina,,10.97,88.58,44,18,Android,88.58
Bulgaria,10454400,14.97,84.76,43,25,Android,84.76
Croatia,,16.67,82.84,45.17,15.5,Android,82.84
Cyprus,,23.07,76.29,35,33,Android,76.29
Czech Republic,,24.21,75.23,49.75,15.5,Android,75.23
Denmark,7000000,64.04,35.5,56,10,IOS,64.04
Estonia,1904000,36.74,62.74,59,26,Android,62.74
Finland,9470000,36.44,62.85,64,26,Android,62.85
France,72180000,35.49,63.94,46,2,Android,63.94
Georgia,,25.08,73.92,42,43.5,Android,73.92
Germany,107000000,37.67,59.79,51,9,Android,59.79
Greece,,17.8,80.99,39,22,Android,80.99
Hungary,11561890,21.02,78.25,47,20,Android,78.25
Iceland,,51.03,48.19,65,-18,IOS,51.03
Ireland,5770638,48.07,51.49,53,-8,Android,51.49
Italy,88580000,29.31,70.22,42.83,12.83,Android,70.22
Latvia,2579000,29.32,69.83,57,25,Android,69.83
Liechtenstein,,64.93,34.74,47.17,9.53,IOS,64.93
Lithuania,4940000,26.03,73.36,56,24,Android,73.36
Luxembourg,,40.53,58.88,49.75,6.17,Android,58.88
Macedonia,,,,41.83,22,Android,
Malta,554651,35.7,63.66,35.83,14.58,Android,63.66
Moldova,,20.32,79.4,,,Android,79.4
Monaco,,69.42,30.47,43.73,7.4,IOS,69.42
Montenegro,1117500,23.98,75.62,42,19,Android,75.62
Netherlands,20000000,40.31,59.02,52.5,5.75,Android,59.02
Norway,,61.94,37.59,62,10,IOS,61.94
Poland,47153200,10.57,89.2,52,20,Android,89.2
Portugal,13400000,27.1,72.46,39.5,-8,Android,72.46
Romania,26000000,22.15,77.52,46,25,Android,77.52
San Marino,,35.69,63.69,43.77,12.42,Android,63.69
Serbia,,25.11,74.6,44,21,Android,74.6
Slovakia,,23.91,75.07,48.67,19.5,Android,75.07
Slovenia,,27.09,72.35,46,15,Android,72.35
Spain,55740000,21.4,78.09,40,-4,Android,78.09
Sweden,14500000,55.33,44.13,62,15,IOS,55.33
Switzerland,,55.92,43.21,47,8,IOS,55.92
Ukraine,57505555,18.42,81.26,49,32,Android,81.26
United Kingdom,83100000,51.63,47.8,54,-2,IOS,51.63
Vatican City,,39.62,59.16,,,Android,59.16
Antigua and Barbuda,,26.66,72.83,17.05,-61.8,Android,72.83
Bahamas,,50.51,49.17,24.25,-76,IOS,50.51
Barbados,,27.69,71.44,13.17,-59.53,Android,71.44
Belize,,51.41,48.29,17.25,-88.75,IOS,51.41
Canada,31210628,57.84,41.53,60,-95,IOS,57.84
Costa Rica,,21.84,77.87,10,-84,Android,77.87
Cuba,1300000,8.73,91.12,21.5,-80,Android,91.12
Dominica,,15.76,82.77,15.42,-61.33,Android,82.77
Dominican Republic,,31.14,68.5,19,-70.67,Android,68.5
El Salvador,,12.24,87.48,13.83,-88.92,Android,87.48
Grenada,,24.86,74.83,12.12,-61.67,Android,74.83
Guatemala,17571895,15.92,83.84,15.5,-90.25,Android,83.84
Haiti,,14.52,85.39,19,-72.42,Android,85.39
Honduras,,18.74,80.79,15,-86.5,Android,80.79
Jamaica,,25.41,73.93,18.25,-77.5,Android,73.93
Mexico,101339000,19.93,79.78,23,-102,Android,79.78
Nicaragua,,11.18,88.52,13,-85,Android,88.52
Panama,6900000,17.73,81.91,9,-80,Android,81.91
Saint Kitts and Nevis,,29.8,69.52,17.33,-62.75,Android,69.52
Saint Lucia,,22.9,76.77,13.88,-61.13,Android,76.77
Saint Vincent and the Grenadines,,20.06,79.15,13.25,-61.2,Android,79.15
Trinidad and Tobago,2060000,23.09,75.8,11,-61,Android,75.8
United States of America,327577529,56.74,42.94,38,-97,IOS,56.74
Australia,20570000,57.47,41.15,-27,133,IOS,57.47
Fiji,,10.58,89.07,-18,175,Android,89.07
Kiribati,,3.85,95.88,1.42,173,Android,95.88
Marshall Islands,,13.08,86.74,9,168,Android,86.74
Micronesia,,24.89,74.64,,,Android,74.64
Nauru,,5.49,94.39,-0.53,166.92,Android,94.39
New Zealand,4761000,46.34,52.27,-41,174,Android,52.27
Palau,,32.95,66.75,7.5,134.5,Android,66.75
Papua New Guinea,,2.83,96.87,-6,147,Android,96.87
Samoa,,15.5,84.21,-13.58,-172.33,Android,84.21
Solomon Islands,,5.84,93.93,-8,159,Android,93.93
Tonga,,20.14,79.4,-20,-175,Android,79.4
Tuvalu,,4.83,95.17,-8,178,Android,95.17
Vanuatu,,7.54,91.48,-16,167,Android,91.48
Argentina,56725200,7.97,91.82,-34,-64,Android,91.82
Bolivia,,5.37,94.22,-17,-65,Android,94.22
Brazil,284200000,14.45,85.33,-10,-55,Android,85.33
Chile,21000000,16.76,82.9,-30,-71,Android,82.9
Colombia,57900472,11.24,88.4,4,-72,Android,88.4
Ecuador,15900000,13.35,86.22,-2,-77.5,Android,86.22
Guyana,,17.55,81.77,5,-59,Android,81.77
Paraguay,,7.34,92.44,-23,-58,Android,92.44
Peru,34235000,8.14,91.36,-10,-76,Android,91.36
Suriname,,18.62,80.44,4,-56,Android,80.44
Uruguay,,16.01,83.8,-33,-56,Android,83.8
Venezuela,32019086,5.85,93.83,8,-66,Android,93.83
